epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,410.545,2.077,3.20051,1.43879,0.28858,0.22879,0.1224,0.06142,1.96856,2.2586,1.35359,0.000301106,0.000301106,0.000301106
2,750.418,1.87068,2.15901,1.31947,0.3271,0.23864,0.13586,0.07088,1.85717,2.14684,1.29875,0.0005443,0.0005443,0.0005443
3,1146.07,1.75385,1.94418,1.27598,0.39611,0.27186,0.19082,0.09945,1.7524,1.93825,1.25974,0.000727499,0.000727499,0.000727499
4,1670.73,1.69222,1.86457,1.24927,0.44422,0.2632,0.21601,0.11621,1.67466,1.88329,1.22037,0.000639027,0.000639027,0.000639027
5,2581.74,1.6315,1.81459,1.22588,0.43273,0.29663,0.23396,0.132,1.59326,1.77619,1.18207,0.000549036,0.000549036,0.000549036
6,3798.12,1.58709,1.76141,1.20345,0.32389,0.31992,0.26562,0.14732,1.59159,1.74797,1.17042,0.000459045,0.000459045,0.000459045
7,4101.77,1.5442,1.70864,1.19275,0.33347,0.31878,0.2783,0.15724,1.54779,1.71878,1.16596,0.000369054,0.000369054,0.000369054
8,4432.14,1.50924,1.66502,1.17368,0.3326,0.33885,0.2888,0.16762,1.49934,1.67727,1.14311,0.000279063,0.000279063,0.000279063
9,4750.72,1.47472,1.62662,1.15741,0.32819,0.35742,0.29674,0.17397,1.47419,1.63183,1.13979,0.000189072,0.000189072,0.000189072
10,5057.6,1.46399,1.60269,1.15453,0.33871,0.34012,0.30165,0.17885,1.4701,1.64147,1.13398,9.9081e-05,9.9081e-05,9.9081e-05
